pitcherFirstName,pitcherLastName,fastest_pitch
Jesse,Chavez,96
Severino,Gonzalez,96
Scott,Verrett,96
Taylor,Rogers,96
Fernando,Rodriguez,96
Hector,Santiago,96
Luis,Guerra,96
Justin,Chamberlain,96
Christopher,Withrow,96
Bradley,Hand,96
Giovany,Gonzalez,96
Patrick,Corbin,96
Zachary,Eflin,96
Matthew,Moore,96
Scott,Alexander,96
Alexi,Ogando,96
Kevin,McCarthy,96
Corey,Kluber,96
Jonathan,Papelbon,96
Justin,Miller,96
Evan,Marshall,96
Brandon,Finnegan,96
Mark,Lowe,96
Paul,Clemens,96
John,Lackey,96
Curtis,Partch,96
Luke,Jackson,96
Cody,Reed,96
Michael,Pelfrey,96
Anibal,Sanchez,96
Dustin,Molleken,96
Robert,Parnell,96
Sonny,Gray,96
Jeffrey,Wendelken,96
"Ashur ",Tolliver,96
Christopher,Tillman,96
Masahiro,Tanaka,96
Anthony,Swarzak,96
Alfredo,Simon,96
Steven,Delabar,96
Brock,Stewart,96
Dominic,Leone,96
Chad,Bettis,96
Tyson,Blach,96
Ryan,Buchter,96
Steven,Matz,96
Lucas,Giolito,96
Carsten,Sabathia,96
Sean,Manaea,96
Matthew,Wisler,96
Tyler,Chatwood,96
Gonzalez,Germen,96
Raul,Alcantara,96
Joseph,Musgrove,96
Odrisamer,Despaigne,96
David,Bailey,96
Gavin,Floyd,96
Daniel,Mengden,96
Mathew,Latos,96
Robert,Gsellman,96
Michael,Broadway,96
Yimi,Garcia,96
Williams,Perez,96
John,Barbato,96
Christopher,Gimenez,96
Trevor,Gott,96
Christian,Bethancourt,96
Nicholas,Tepesch,96
Logan,Ondrusek,96
Jordan,Lyles,96
Jose,Torres,96
Jason,Hursh,96
Cody,Hall,96
Johnathan,Graham,96
Tayron,Guerrero,96
Branden,Pinder,96
Marcus,Stroman,95
Daniel,Farquhar,95
Daniel,Barnes,95
Erasmo,Ramirez,95
James,Happ,95
Jason,Grilli,95
Jonathan,Lester,95
Clayton,Richard,95
Trevor,Cahill,95
Jacob,Odorizzi,95
Thomas,Pomeranz,95
Matthew,Andriese,95
Leonel,Campos,95
Anthony,Barnette,95
Robert,Anderson,95
Johnny,Cueto,95
Carlos,Torres,95
Matthew,Garza,95
Jacob,Peavy,95
Adam,Liberatore,95
Shawn,Kelley,95
Thomas,Koehler,95
Adam,Wainwright,95
Nicholas,Wittgren,95
Steven,Brault,95
Adam,Warren,95
Chien-Ming,Wang,95
Matthew,Bowman,95
Shawn,Tolleson,95
William,Harris,95
Grant,Dayton,95
Brandon,McCarthy,95
Wei-Yin,Chen,95
"Timothy ",Adleman,95
Anthony,Ranaudo,95
Brooks,Pounders,95
Chaz,Roe,95
Jerad,Eickhoff,95
Andrew,Bailey,95
Avery,Morris,95
Jeanmar,Gomez,95
Tyler,Anderson,95
Rafael,Montero,95
Dalier,Hinojosa,95
Elvis,Araujo,95
Jose,Quintana,95
Matthew,Boyd,95
Shawn,Morimando,95
Andrew,Hutchison,95
Dylan,Floro,95
Tanner,Roark,95
Kendry,Flores,95
Silvino,Bracho,95
Andrew,Schugel,95
Michael,Morin,95
Aaron,Loup,95
Jose,Alvarez,95
Carlos,Nolasco,95
Jhoulys,Chacin,95
Matthew,Shoemaker,95
Neil,Ramirez,95
Nicholas,Tropeano,95
Dario,Alvarez,95
Derek,Holland,95
Phil,Klein,95
Ross,Detwiler,95
Julio,Teheran,95
Matthew,Belisle,95
Addison,Reed,95
Cory,Luebke,95
Boone,Logan,95
Daniel,Coulombe,95
Carson,Fulmer,95
Randall,Delgado,95
Donald,Greinke,95
Steven,Hathaway,95
Clay,Buchholz,95
Dayan,Diaz,95
David,Robertson,95
Edwin,Escobar,95
Spencer,Patton,95
Jeffrey,Locke,95
Caleb,Cotham,95
Brandon,Cunniff,95
Tyler,Cravy,95
William,Wilson,95
Jordan,Zimmermann,95
Fernando,Abad,95
Miguel,Gonzalez,95
Ubaldo,Jimenez,95
Shawn,Armstrong,95
David,Paulino,95
James,Hoyt,95
Robert,Wood,95
Carlos,Frias,95
Jose,De Leon,95
Erik,Goeddel,95
Jarred,Cosart,95
Gabriel,Ynoa,95
Wade,Miley,95
Kirby,Yates,95
John,Gant,95
Braden,Shipley,95
Jharel,Cotton,95
Junichi,Tazawa,95
Lucas,Harrell,95
Tyrell,Jenkins,95
Joel,De La Cruz,95
Mayckol,Guaipe,95
Daniel,Stumpf,95
Felix,Pena,95
David,Goforth,95
Timothy,McFarland,95
Roenis,Elias,95
Phillip,Coke,95
Brett,Anderson,95
Alexander,Gonzalez,95
Tyson,Ross,95
Ryan,Garton,94
Brett,Cecil,94
Cory,Gearrin,94
Travis,Wood,94
Javier,Lopez,94
Xavier,Cedeno,94
Todd,Smyly,94
Nicholas,Martinez,94
George,Kontos,94
Christopher,Stratton,94
Joseph,Blanton,94
Thomas,Stripling,94
Mark,Melancon,94
Michael,Leake,94
Tyler,Lyons,94
Jon,Moscot,94
Cesar,Ramos,94
Tony,Sipp,94
Collin,McHugh,94
Andrew,Triggs,94
Ryan,Dull,94
Ryan,Vogelsong,94
Antonio,Bastardo,94
Matthew,Magill,94
Blake,Smith,94
Kyle,Gibson,94
Jake,Thompson,94
James,Shields,94
Tyler,Duffey,94
Steven,Cishek,94
Jeffrey,Manship,94
Oliver,Perez,94
Cory,Rasmus,94
Adam,Achter,94
Noel,Salas,94
Marc,Rzepczynski,94
Hisashi,Iwakuma,94
Vidal,Nuno,94
Andrew,Heaney,94
Vance,Worley,94
Steven,Geltz,94
Andrew,Faulkner,94
Dallas,Keuchel,94
Aaron,Nola,94
Tyler,Clippard,94
Luis,Avilan,94
Zachary,Neal,94
Zachary,Godley,94
Wilfredo,Boscan,94
Warwick,Saupold,94
Jonathan,Aro,94
Philip,Hughes,94
Patrick,Dean,94
Alex,Wimmers,94
Daniel,Jennings,94
Matthew,Purke,94
Chasen,Shreve,94
Jeffrey,Boshers,94
Bradley,Peacock,94
Adam,Loewen,94
Matthew,Thornton,94
Drew,Storen,94
Kelvin,Marte,94
Yovani,Gallardo,94
Jonathan,Holder,94
John,Lamb,94
Abel,De Los Santos,94
Alec,Mills,94
Richard,Hill,94
Steven,Okert,94
Brian,Duensing,94
Keith,Hessler,94
Matthew,Koch,94
Adam,Morgan,94
Philip,Wilson,94
Richard,Parker,94
Robert,Zastryzny,94
Robert,Webb,94
Dustin,Antolin,94
Jacob,Esch,94
Andrew,Cole,94
David,Rollins,94
Donn,Roach,94
Yohander,Mendez,94
Conor,Mullee,94
Timothy,Melville,94
Vincent,Mazzaro,94
Joseph,Wieland,94
Parker,Bridwell,94
Jacob,Smith,94
Carson,Smith,94
Adrian,Sampson,94
Chad,Qualls,93
Alexander,Cobb,93
Matthew,Dermody,93
Matthew,Cain,93
Tyler,Sturdevant,93
Madison,Bumgarner,93
Harold,Coleman,93
Eric,O'Flaherty,93
Christian,Bergman,93
Jaime,Garcia,93
Deolis,Guerra,93
Miguel,Socolovich,93
Jonathon,Niese,93
Daniel,Straily,93
Daniel,Otero,93
Ryan,O'Rourke,93
Jeremy,Hellickson,93
Justin,Nicolino,93
Christopher,Rusin,93
Nicholas,Vincent,93
David,Huff,93
Thomas,Gorzelanny,93
Alberto,Alburquerque,93
Patrick,Neshek,93
Kevin,Quackenbush,93
Carlos,Villanueva,93
Kenta,Maeda,93
Zac,Curtis,93
Yusmeiro,Petit,93
Thomas,Layne,93
Jorge,De La Rosa,93
Gerardo,Concepcion,93
Cesar,Vargas,93
Taylor,Jungmann,93
Chase,Whitley,93
Joshua,Smith,93
Kyle,Ryan,93
Peter,Moylan,93
Ryan,Webb,93
Christian,Friedrich,93
Glenn,House,93
Kevin,Chapman,93
Brady,Rodgers,93
Bartolo,Colon,93
Kristopher,Medlen,93
Matthew,Marksberry,93
James,Weber,93
Casey,Kelly,93
Aaron,Blair,93
Felix,Hernandez,93
Alex,Leon,93
John,Danks,93
Joseph,Nathan,93
Nicholas,Goody,93
Joshua,Edgin,93
Daniel,Winkler,93
Noe,Ramirez,93
Erik,Johnson,93
Andrew,Hayes,93
Sean,O'Sullivan,93
Tyler,Danish,93
William,Cuevas,93
Adam,Plutko,93
Christopher,Narveson,93
Ariel,Pena,93
Glen,Perkins,93
Michael,Roth,93
Craig,Breslow,92
Chad,Girodo,92
Roberto,Hernandez,92
Zachary,Duke,92
Zachary,Phillips,92
Alec,Asher,92
James,Russell,92
Brett,Oberholtzer,92
Daniel,Wright,92
Greg,Mahle,92
Colby,Lewis,92
Joel,Peralta,92
Dana,Eveland,92
Steven,Putnam,92
Christopher,Capuano,92
Robert,Whalen,92
Jo-Jo,Reyes,92
Justin,Marks,92
Kyle,Crockett,92
Richard,Bleier,92
Hyun-Jin,Ryu,92
Jerry,Blevins,92
George,Baumann,92
Steven,Johnson,92
Evan,Scribner,92
Henry,Owens,92
Blaine,Hardy,92
Franklin,Morales,92
Brian,Matusz,92
Tyler,Wagner,92
Matthew,Buschmann,92
Jason,Gurka,92
Jedidiah,Bradley,92
Scott,Carroll,92
Logan,Kensing,92
Andrew,Butera,92
Michael,Kirkman,92
Adalberto,Mejia,92
Marco,Estrada,91
James,Howell,91
Jerome,Williams,91
Michael,Maness,91
Christopher,Young,91
Joshua,Tomlin,91
Eric,Surkamp,91
Huston,Street,91
Timothy,Lincecum,91
Cody,Ege,91
Joseph,Smith,91
Lucas,Gregerson,91
Michael,Bolsinger,91
Kyle,Hendricks,91
Francisco,Rodriguez,91
Dillon,Overton,91
Jake,Buchanan,91
Andrew,Albers,91
Jose,Campos,91
Anthony,Morris,91
Matt,Grace,91
David,Hale,91
Kyle,Drabek,91
Eduardo,Escobar,91
Yohan,Flande,91
Robert,Erlin,91
Layne,Somsen,91
Kyle,Lohse,91
Jack,Shuck,91
Dean,Kiekhefer,90
Ryan,Merritt,90
Tomaso,Milone,90
Christopher,Smith,90
Kyle,Lobstein,90
Donnie,Hart,90
Sean,Gilmartin,90
Patrick,Schuster,90
Cody,Martin,90
Christopher,Heston,90
Jayson,Aquino,90
Sean,Burnett,90
Rafael,Martin,90
Ryan,Goins,90
Brad,Ziegler,89
Alexander,Claudio,89
Koji,Uehara,89
Wade,LeBlanc,89
Patrick,Venditte,89
Joshua,Collmenter,89
Robert,Scott,89
Joseph,Mantiply,89
Matthew,Reynolds,89
Tyler,Olson,89
Scott,Diamond,89
Jason,Vargas,89
Andrew,Romine,89
Sergio,Romo,88
Jered,Weaver,88
Darren,O'Day,88
Steven,Wright,88
Ruben,Tejada,88
Joshua,Phegley,88
Brent,Suter,87
Erik,Kratz,87
Brian,White,87
Robert,Dickey,86
Darwin,Barney,86
Tyler,Ladendorf,85
Miguel,Montero,84
Alexi,Amarista,84
Ryan,Flaherty,84
John,Holaday,83
Luis,Sardinas,82
Benjamin,Rowen,81
Taylor,Motter,81
Ryan,LaMarre,78
Jared,Hoying,73
Tyler,Holt,68
,,0
