gameId,Date,Home_Team,Home_Runs,Home_Hits,Home_Errors,Away_Team,Away_Runs,Away_Hits,Away_Errors
a4c7d74e-7a24-48d8-80c8-8a4b1c0080be,2016-04-03 17:05:00 UTC,Pirates,4,9,1,Cardinals,1,5,0
b28c65d4-280d-4a63-851e-6d13408e0b49,2016-04-03 20:05:00 UTC,Rays,3,7,1,Blue Jays,5,7,2
f2d7391b-7468-46a9-9223-98dfefbc56da,2016-04-04 00:37:00 UTC,Royals,4,9,0,Mets,3,7,1
659ccef3-788b-43a5-b4d8-a3e0c6ac735a,2016-04-04 18:10:00 UTC,Brewers,3,8,1,Giants,12,15,0
e3aa1ebc-00bb-4977-9be8-c5849da69adc,2016-04-04 19:05:00 UTC,Orioles,3,10,0,Twins,2,7,0
ef28daa0-2015-4d87-9cca-19a56d049735,2016-04-04 20:05:00 UTC,Rangers,3,1,1,Mariners,2,4,2
b25938e3-1d5a-4050-8ed5-b524507cd7af,2016-04-04 20:10:00 UTC,Reds,6,6,0,Phillies,2,6,2
e6d4e359-3254-41a2-be7c-26ad5cd93743,2016-04-04 20:10:00 UTC,Braves,3,4,2,Nationals,4,8,0
d25cd731-0cc7-4eaf-b840-7bff9df0993b,2016-04-04 23:05:00 UTC,Padres,0,4,2,Dodgers,15,17,0
50dce15a-5857-4338-85c8-11cc5267d503,2016-04-04 23:10:00 UTC,Rays,3,8,0,Blue Jays,5,7,1
ec89154d-f6d0-4277-9fbd-a44ecf51c822,2016-04-05 01:40:00 UTC,Diamondbacks,5,12,0,Rockies,10,15,0
9e4ce345-e684-465f-80fb-31cbae5b549b,2016-04-05 02:05:00 UTC,Angels,0,3,1,Cubs,9,11,0
c4be6dbb-f42d-4fb9-bcd8-2fd90f76e621,2016-04-05 02:05:00 UTC,Athletics,3,7,2,White Sox,4,7,1
983612c8-997a-4e5a-9b90-6f7a33fed47e,2016-04-05 17:05:00 UTC,Yankees,3,4,1,Astros,5,6,0
bcd65f36-4cb5-4ed5-a13c-410b996e53f7,2016-04-05 17:10:00 UTC,Indians,2,5,1,Red Sox,6,11,0
a74496d7-2424-46f6-a029-1f999feb04d4,2016-04-05 20:15:00 UTC,Royals,0,3,0,Mets,2,6,0
0d4e3c8a-474d-4d37-9318-5a0be677a020,2016-04-05 23:05:00 UTC,Pirates,6,12,2,Cardinals,5,8,1
b6f922df-46c6-483c-8d3b-4235a6fc4520,2016-04-05 23:10:00 UTC,Marlins,7,10,2,Tigers,8,12,1
1ea8e3af-f665-4e95-a1c1-b637d5773a47,2016-04-05 23:10:00 UTC,Rays,3,7,1,Blue Jays,2,9,0
e804db07-6ae2-4e6e-9836-f3e4e87dd999,2016-04-06 00:05:00 UTC,Rangers,2,7,1,Mariners,10,11,1
f1229222-d536-4344-b26c-7a97990f7da6,2016-04-06 00:10:00 UTC,Brewers,1,6,0,Giants,2,7,0
968a201d-3aee-4d5e-b118-55c949d9a305,2016-04-06 01:40:00 UTC,Diamondbacks,11,15,0,Rockies,6,9,0
24740ced-a9dc-46fb-9992-115eb41ac63b,2016-04-06 02:05:00 UTC,Angels,1,4,0,Cubs,6,9,1
9a5d74a2-eb98-4260-8951-6fe654ec27da,2016-04-06 02:05:00 UTC,Athletics,4,10,0,White Sox,5,11,0
dd612e6d-4322-4301-90ef-2c53dd24af96,2016-04-06 02:10:00 UTC,Padres,0,2,1,Dodgers,3,6,0
2bde8d6d-ca9a-4509-8f6b-8080a7074bed,2016-04-06 17:10:00 UTC,Rays,5,10,0,Blue Jays,3,6,0
883353e9-fb34-4160-9f51-00efccda056f,2016-04-06 17:40:00 UTC,Brewers,4,9,2,Giants,3,6,0
88a66413-2e96-4af8-8ba8-02c5382876be,2016-04-06 18:05:00 UTC,Rangers,5,7,0,Mariners,9,14,0
